method,env_id,variant_index,reward,hits,false_alarms,scanned_true_active,total_active_opportunities,overall_pd,scanned_pd,pfa,total_episodes,detected_episodes,interception_rate,mean_delay,median_delay,p90_delay,fairness_jain,min_scan_share,max_scan_share,max_min_scan_ratio,scan_b0,scan_b1,scan_b2,scan_b3,scan_b4
Random,68070,2,161.85123480528617,158,2,204,913,0.17305585980284777,0.7745098039215687,0.006756756756756757,201,112,0.5572139303482587,1.7321428571428572,1.0,4.0,0.9972873783309398,0.186,0.214,1.1505376344086022,98,107,97,93,105
Round_Robin,68070,2,125.71789705470168,119,4,156,913,0.1303395399780942,0.7628205128205128,0.011627906976744186,201,96,0.47761194029850745,1.9479166666666667,2.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68071,3,159.75813580825937,163,5,205,913,0.17853231106243153,0.7951219512195122,0.01694915254237288,202,97,0.4801980198019802,2.020618556701031,1.0,5.0,0.9070459328060373,0.126,0.314,2.492063492063492,109,157,63,87,84
V70_DQN,68071,3,152.35748296409824,158,3,214,913,0.17305585980284777,0.7383177570093458,0.01048951048951049,202,107,0.5297029702970297,1.897196261682243,1.0,5.0,0.8413259296651523,0.132,0.37,2.803030303030303,94,185,78,77,66
V65_DQN,68071,3,158.0473235955835,165,3,224,913,0.18072289156626506,0.7366071428571429,0.010869565217391304,202,94,0.46534653465346537,1.8191489361702127,1.0,5.0,0.8385322331790434,0.08,0.346,4.325,107,173,75,105,40
Old_Scalable_DQN,68071,3,153.30184139609344,152,2,199,913,0.1664841182913472,0.7638190954773869,0.006644518272425249,202,83,0.41089108910891087,1.9759036144578312,2.0,4.0,0.9721196095967648,0.138,0.236,1.710144927536232,102,118,112,99,69
Random,68071,3,135.16009330838912,135,5,183,913,0.14786418400876233,0.7377049180327869,0.015772870662460567,202,98,0.48514851485148514,2.020408163265306,1.0,5.0,0.9978048293753742,0.188,0.212,1.127659574468085,98,106,97,94,105
Round_Robin,68071,3,172.3583482478561,164,3,221,913,0.1796276013143483,0.7420814479638009,0.010752688172043012,202,137,0.6782178217821783,1.489051094890511,1.0,4.0,1.0,0.2,0.2,1.0,100,100,100,100,100
V73_Causal_DQN,68072,4,164.88596651867036,168,4,220,913,0.18400876232201532,0.7636363636363637,0.014285714285714285,203,97,0.47783251231527096,1.7216494845360826,1.0,4.0,0.9054362391800369,0.142,0.318,2.23943661971831,110,159,71,80,80
V70_DQN,68072,4,165.5810367746654,170,4,222,913,0.18619934282584885,0.7657657657657657,0.014388489208633094,203,93,0.458128078817734,1.6451612903225807,1.0,4.0,0.8662508662508662,0.132,0.346,2.621212121212121,105,173,89,66,67
V65_DQN,68072,4,178.58014952585125,185,4,233,913,0.20262869660460023,0.7939914163090128,0.0149812734082397,203,96,0.4729064039408867,2.0833333333333335,1.5,5.0,0.8806848205164336,0.102,0.312,3.0588235294117645,75,156,94,124,51
