method,reward_mean,reward_std,hits_mean,hits_std,overall_pd_mean,overall_pd_std,scanned_pd_mean,pfa_mean,pfa_std,interception_mean,interception_std,mean_delay,median_delay,p90_delay,fairness_jain,fairness_jain_std,min_scan_share,max_min_scan_ratio
Old_Scalable_DQN,153.5005568348729,10.64439598484422,154.05,10.197913310939441,0.16872946330777655,0.011169675039364127,0.7834435616443934,0.008804701433772679,0.005655806730790084,0.4565276606201558,0.034122044293561506,1.8964258192157015,1.2,4.7825000000000015,0.9421834303623081,0.018760323286121584,0.1193,2.2016694229592604
Random,145.0688109169025,11.41103760964218,142.2,10.737425561665496,0.15575027382256298,0.011760597548374038,0.7812387531741746,0.008668216702404691,0.005292706501837334,0.48313863067584517,0.03404146229317766,1.8596704219573543,1.075,4.6075,0.9977312673482956,0.00033241762190989066,0.18359999999999999,1.1430880616023553
Round_Robin,153.08832733748483,20.584675154942644,144.925,19.742427954495906,0.15873493975903613,0.021623688887728268,0.7832198846985131,0.008490526341093839,0.004706331631188078,0.5885226189480598,0.08521612338071179,1.864478899625728,1.575,3.9875000000000007,1.0,0.0,0.2,1.0
V65_DQN,162.41581203667087,13.332774917529902,166.475,13.72063297485831,0.18233844468784227,0.015028075547489939,0.7840291658285063,0.00930865218945261,0.004795663139805381,0.4531151223528093,0.03925284320974837,1.8683326266150995,1.0625,4.8625,0.8861260164510212,0.038011955797545245,0.10945,2.9484556337819585
V70_DQN,163.89602187164886,18.706591940023173,168.25,19.025960671860425,0.18428258488499452,0.020838949257240325,0.7907032515101639,0.00935845421344704,0.005164193414345514,0.4913912306972187,0.042961498555220516,1.7646438791976689,1.075,4.527500000000001,0.8657520999198075,0.04134626636269542,0.12284999999999999,2.8465247636914945
V73_Causal_DQN,164.48139702434855,12.716429047662908,166.7,13.204894197578064,0.18258488499452355,0.01446319189219941,0.7894758233599618,0.009281667175130816,0.005468845265041435,0.4684181577116612,0.03317104487493517,1.8430048815268,1.1875,4.44,0.9167248153812058,0.034909699259285665,0.1434,2.1808716953333662
