Comparison,Reward Δ,Pd Δ (pp),Pfa Δ (pp),Intercept Δ (pp),Delay Δ,Fairness Δ (pp)
V73 vs Old DQN,10.980840189475657,1.3855421686747,0.0476965741358101,1.189049709150547,-0.053420937688901216,-2.5458614981102468
V73 vs V65,2.0655849876776813,0.02464403066813059,-0.002698501432179916,1.5303035358851969,-0.025327745088299602,3.059879893018458
V73 vs V70,0.5853751526996973,-0.16976998904709995,-0.007678703831619921,-2.2973072985557508,0.07836100232913124,5.097271546139826
V73 vs Round Robin,11.393069686863726,2.3849945235487393,0.07911408340368994,-12.010446123639863,-0.021474018098927905,-8.327518461879425
