method,reward_mean,reward_std,hits_mean,hits_std,Pd_mean,Pd_std,scanned_Pd_mean,scanned_Pd_std,Pfa_mean,Pfa_std,interception_mean,interception_std,delay_mean,delay_std,fairness_mean,fairness_std,min_scan_mean,min_scan_std,max_min_ratio_mean,max_min_ratio_std
Random,145.0688109169025,11.411037609642184,142.2,10.737425561665496,0.15575027382256296,0.011760597548374038,0.7812387531741746,0.02777008884813369,0.008668216702404651,0.005292706501837326,0.48313863067584517,0.03404146229317767,1.8596704219573543,0.19208193424351783,0.9977312673482956,0.0003324176219098767,0.18359999999999999,0.0025298221281346987,1.1430880616023553,0.013225300809694954
Old_Scalable_DQN,153.5005568348729,10.64439598484422,154.05,10.197913310939441,0.16872946330777655,0.011169675039364132,0.7834435616443934,0.029482414138918746,0.008804701433772643,0.005655806730790079,0.4565276606201557,0.03412204429356151,1.8964258192157015,0.18023386290267965,0.9421834303623082,0.01876032328612158,0.1193,0.016175638536122215,2.2016694229592604,0.3653219816301354
Round_Robin,153.08832733748483,20.584675154942648,144.925,19.742427954495906,0.15873493975903613,0.021623688887728268,0.7832198846985131,0.027314669617376677,0.008490526341093804,0.00470633163118807,0.5885226189480598,0.08521612338071179,1.864478899625728,0.3557916074950609,1.0,0.0,0.2,0.0,1.0,0.0
V65_DQN,162.41581203667087,13.332774917529902,166.475,13.72063297485831,0.18233844468784227,0.01502807554748994,0.7840291658285063,0.03463458431588957,0.009308652189452562,0.004795663139805384,0.45311512235280926,0.03925284320974838,1.8683326266150995,0.15565212913075516,0.8861260164510212,0.03801195579754522,0.10945,0.018502875729367325,2.9484556337819585,0.6157512645268653
V70_DQN,163.89602187164886,18.706591940023173,168.25,19.025960671860425,0.1842825848849945,0.020838949257240315,0.7907032515101639,0.030808106641070802,0.009358454213446995,0.0051641934143455085,0.4913912306972187,0.04296149855522052,1.7646438791976689,0.25449037740748287,0.8657520999198075,0.04134626636269542,0.12284999999999999,0.013141342084995422,2.8465247636914945,0.5011041770662762
V73_Causal_DQN,164.48139702434855,12.716429047662903,166.7,13.204894197578064,0.18258488499452352,0.014463191892199414,0.7894758233599618,0.025337818628857107,0.00928166717513077,0.005468845265041431,0.4684181577116612,0.03317104487493518,1.8430048815268,0.23933291245037316,0.9167248153812058,0.034909699259285665,0.1434,0.013026206327325358,2.1808716953333662,0.3478231204896598
